,Адрес,Вид ДТП,Время,Дата,Долгота,Число погибших,Число раненых,Широта
253,Центральный район,Наезд на пешехода,23:45,31.05.2017,54.1556,,,37.5997
254,Центральный район,Наезд на пешехода,13:00,28.05.2017,54.3172,,,37.1006
255,Привокзальный район,Наезд на пешехода,22:45,26.05.2017,54.1706,,,37.5736
256,Центральный район,Наезд на пешехода,10:45,26.05.2017,54.2236,,,37.9594
257,Привокзальный район,Наезд на пешехода,16:30,24.05.2017,54.3308,,,37.9192
258,Пролетарский район,Наезд на пешехода,07:15,24.05.2017,54.3353,,,37.9072
259,Привокзальный район,Наезд на пешехода,13:00,24.05.2017,54.9583,,,37.5694
260,Советский район,Наезд на пешехода,09:50,22.05.2017,54.1997,,,37.5853
261,Центральный район,Наезд на пешехода,10:40,20.05.2017,51.1853,,,37.6125
262,Привокзальный район,Наезд на пешехода,22:02,17.05.2017,54.2697,,,37.9681
263,Пролетарский район,Наезд на пешехода,12:40,11.06.2017,54.14306,,,37.35183
264,Советский район,Наезд на пешехода,16:30,08.06.2017,54.2186,,,37.6022
265,Зареченский район,Наезд на пешехода,14:45,08.06.2017,54.2186,,,37.6022
266,Пролетарский район,Наезд на пешехода,17:20,07.06.2017,54.11702,,,37.36423
267,Пролетарский район,Наезд на пешехода,10:15,05.06.2017,54.1928,,,37.6864
268,Центральный район,Наезд на пешехода,00:55,04.06.2017,54.1719,,,37.6344
269,Центральный район,Наезд на пешехода,20:10,02.06.2017,54.1714,,,37.6031
270,Зареченский район,Наезд на пешехода,07:25,02.06.2017,54.3817,,,37.1147
271,Зареченский район,Наезд на пешехода,07:25,02.06.2017,54.3817,,,37.1147
272,Центральный район,Наезд на пешехода,23:10,30.06.2017,54.1561,,,37.6
273,Центральный район,Наезд на пешехода,10:20,29.06.2017,54.1911,,,37.6183
274,Зареченский район,Наезд на пешехода,16:15,27.06.2017,54.2122,,,37.6253
275,Пролетарский район,Наезд на пешехода,18:25,27.06.2017,54.1939,,,37.6736
276,Пролетарский район,Наезд на пешехода,10:02,25.06.2017,54.1853,,,37.6931
277,Зареченский район,Наезд на пешехода,18:49,24.06.2017,54.2275,,,37.6319
278,Зареченский район,Наезд на пешехода,21:20,23.06.2017,54.2519,,,37.6008
279,Пролетарский район,Наезд на пешехода,17:05,21.06.2017,54.1933,,,37.6942
280,Центральный район,Наезд на пешехода,20:00,20.06.2017,54.3019,,,37.1125
281,Пролетарский район,Наезд на пешехода,14:50,19.06.2017,54.1172,,,37.1533
282,Центральный район,Наезд на пешехода,13:40,15.07.2017,54.195,,,37.6231
283,Советский район,Наезд на пешехода,11:25,12.07.2017,54.1964,,,37.6067
284,Пролетарский район,Наезд на пешехода,16:30,10.07.2017,54.1547,,,37.2356
285,Пролетарский район,Наезд на пешехода,20:45,08.07.2017,54.3175,,,37.1186
286,Привокзальный район,Наезд на пешехода,15:00,31.07.2017,54.2692,,,37.9572
287,Пролетарский район,Наезд на пешехода,23:45,31.07.2017,54.2108,,,37.6689
288,Советский район,Наезд на пешехода,09:00,24.07.2017,54.2017,,,37.6044
289,Зареченский район,Наезд на пешехода,10:30,23.07.2017,54.2392,,,37.6381
290,Привокзальный район,Наезд на пешехода,11:10,18.07.2017,54.165,,,37.5783
291,Привокзальный район,Наезд на пешехода,10:50,17.07.2017,54.1919,,,37.5411
292,Центральный район,Наезд на пешехода,20:30,29.08.2017,54.1353,,,37.5692
293,Центральный район,Наезд на пешехода,07:45,29.08.2017,54.1706,,,37.6175
294,Центральный район,Наезд на пешехода,09:30,28.08.2017,54.3025,,,37.1008
295,Зареченский район,Наезд на пешехода,09:40,28.08.2017,54.3669,,,37.1006
296,Пролетарский район,Наезд на пешехода,00:30,27.08.2017,54.2069,,,37.5847
297,Центральный район,Наезд на пешехода,20:00,24.08.2017,54.1767,,,37.6292
298,Привокзальный район,Наезд на пешехода,01:05,21.08.2017,54.1133,,,37.5564
299,Центральный район,Наезд на пешехода,09:20,21.08.2017,54.1928,,,37.9906
300,Центральный район,Наезд на пешехода,11:50,19.08.2017,54.2856,,,37.1067
301,Пролетарский район,Наезд на пешехода,00:30,18.08.2017,54.1917,,,37.6883
302,Пролетарский район,Наезд на пешехода,19:00,17.08.2017,54.185,,,37.6925
303,Пролетарский район,Наезд на пешехода,10:00,14.09.2017,54.3936,,,37.1019
304,Пролетарский район,Наезд на пешехода,09:45,13.09.2017,54.2103,,,37.6619
305,Центральный район,Наезд на пешехода,17:00,11.09.2017,54.2425,,,37.9711
306,Пролетарский район,Наезд на пешехода,17:55,10.09.2017,54.2025,,,37.6369
307,Центральный район,Наезд на пешехода,22:50,09.09.2017,54.1922,,,37.6197
308,Советский район,Наезд на пешехода,16:20,08.09.2017,54.3192,,,37.1078
309,Пролетарский район,Наезд на пешехода,20:00,07.09.2017,54.3025,,,37.1183
310,Зареченский район,Наезд на пешехода,18:20,07.09.2017,54.2289,,,37.6281
311,Привокзальный район,Наезд на пешехода,23:30,04.09.2017,54.3347,,,37.0844
312,Пролетарский район,Наезд на пешехода,19:55,02.09.2017,54.2083,,,37.6719
313,Центральный район,Наезд на пешехода,17:00,02.09.2017,54.1742,,,37.6717
314,Центральный район,Наезд на пешехода,15:40,01.09.2017,54.6183,,,37.4864
315,Советский район,Наезд на пешехода,16:05,31.08.2017,54.3178,,,37.9836
316,Зареченский район,Наезд на пешехода,18:40,29.09.2017,54.2392,,,37.6372
317,Центральный район,Наезд на пешехода,12:20,23.09.2017,54.1922,,,37.6203
318,Зареченский район,Наезд на пешехода,19:45,23.09.2017,54.215,,,37.635
319,Привокзальный район,Наезд на пешехода,15:00,22.09.2017,54.1881,,,37.5594
320,Советский район,Наезд на пешехода,16:45,20.09.2017,54.1931,,,37.6114
321,Пролетарский район,Наезд на пешехода,16:25,19.09.2017,54.2206,,,37.6889
322,Пролетарский район,Наезд на пешехода,14:00,17.09.2017,54.2053,,,37.6761
323,Центральный район,Наезд на пешехода,18:30,17.09.2017,54.1617,,,37.1025
324,Привокзальный район,Наезд на пешехода,20:29,16.09.2017,54.1686,,,37.5692
325,Центральный район,Наезд на пешехода,12:30,16.09.2017,54.3019,,,37.1017
326,Центральный район,Наезд на пешехода,11:15,16.09.2017,54.1892,,,37.6228
327,Пролетарский район,Наезд на пешехода,20:45,13.10.2017,54.1931,,,37.6292
328,Центральный район,Наезд на пешехода,00:10,13.10.2017,5.1811,,,37.6042
329,Советский район,Наезд на пешехода,17:10,12.10.2017,54.1986,,,37.5978
330,Привокзальный район,Наезд на пешехода,13:55,12.10.2017,54.1983,,,37.5794
331,Пролетарский район,Наезд на пешехода,14:30,10.10.2017,54.3328,,,37.1106
332,Центральный район,Наезд на пешехода,17:20,05.10.2017,54.1183,,,37.5853
333,Советский район,Наезд на пешехода,18:20,05.10.2017,54.1881,,,37.5872
334,Пролетарский район,Наезд на пешехода,18:45,04.10.2017,54.2075,,,37.6572
335,Центральный район,Наезд на пешехода,18:35,04.10.2017,54.1625,,,37.5989
336,Привокзальный район,Наезд на пешехода,14:20,03.10.2017,54.1558,,,37.5842
337,Привокзальный район,Наезд на пешехода,16:00,02.10.2017,54.2356,,,37.9375
338,Привокзальный район,Наезд на пешехода,21:00,02.10.2017,54.1183,,,37.5492
339,Центральный район,Наезд на пешехода,20:56,01.10.2017,54.1322,,,37.5969
340,Зареченский район,Наезд на пешехода,02:20,27.10.2017,54.2261,,,37.6194
341,Зареченский район,Наезд на пешехода,02:20,27.10.2017,54.2261,,,37.6194
342,Зареченский район,Наезд на пешехода,02:20,27.10.2017,54.2261,,,37.6194
343,Центральный район,Наезд на пешехода,18:10,24.10.2017,54.2092,,,37.4878
344,Привокзальный район,Наезд на пешехода,18:00,23.10.2017,54.3186,,,37.9061
345,Центральный район,Наезд на пешехода,15:15,21.10.2017,54.1731,,,37.6361
346,Привокзальный район,Наезд на пешехода,19:45,20.10.2017,54.1133,,,37.5564
347,Пролетарский район,Наезд на пешехода,12:00,20.10.2017,54.3242,,,37.1017
348,Центральный район,Наезд на пешехода,16:00,20.10.2017,54.1819,,,37.6258
349,Советский район,Наезд на пешехода,14:10,20.10.2017,54.1878,,,37.6131
350,Зареченский район,Наезд на пешехода,17:30,16.10.2017,54.2056,,,37.6214
351,Центральный район,Наезд на пешехода,18:45,14.10.2017,54.1508,,,37.5933
352,Пролетарский район,Наезд на пешехода,13:00,14.10.2017,54.1853,,,37.6667
353,Центральный район,Наезд на пешехода,04:30,12.11.2017,54.1417,,,37.5528
354,Привокзальный район,Наезд на пешехода,17:02,12.11.2017,54.1892,,,34.6264
355,Центральный район,Наезд на пешехода,01:55,12.11.2017,54.1514,,,37.6203
356,Привокзальный район,Наезд на пешехода,21:40,11.11.2017,54.1953,,,37.5958
357,Зареченский район,Наезд на пешехода,18:20,10.11.2017,54.3622,,,37.9856
358,Пролетарский район,Наезд на пешехода,18:05,07.11.2017,54.2086,,,37.6589
359,Привокзальный район,Наезд на пешехода,20:10,05.11.2017,54.1431,,,37.5819
360,Зареченский район,Наезд на пешехода,11:10,04.11.2017,54.3656,,,37.11
361,Центральный район,Наезд на пешехода,05:55,04.11.2017,54.2136,,,37.6197
362,Центральный район,Наезд на пешехода,14:05,03.11.2017,54.1025,,,37.6061
363,Пролетарский район,Наезд на пешехода,18:30,01.11.2017,54.3578,,,37.1017
364,Зареченский район,Наезд на пешехода,10:20,01.11.2017,54.3683,,,37.1019
365,Советский район,Наезд на пешехода,18:45,31.10.2017,54.3186,,,37.1031
366,Пролетарский район,Наезд на пешехода,06:30,31.10.2017,54.1953,,,37.6908
367,Советский район,Наезд на пешехода,18:30,30.10.2017,54.1717,,,37.5856
368,Пролетарский район,Наезд на пешехода,18:30,30.10.2017,54.1883,,,37.6914
369,Пролетарский район,Наезд на пешехода,07:00,30.10.2017,54.2189,,,37.7061
370,Пролетарский район,Наезд на пешехода,23:40,30.10.2017,54.21,,,37.6631
371,Привокзальный район,Наезд на пешехода,15:00,29.10.2017,54.1947,,,37.5647
372,Центральный район,Наезд на пешехода,20:30,29.10.2017,54.1306,,,37.5917
373,Пролетарский район,Наезд на пешехода,15:35,25.11.2017,54.1961,,,37.6328
374,Советский район,Наезд на пешехода,14:05,18.11.2017,54.1975,,,37.5953
375,Привокзальный район,Наезд на пешехода,07:30,17.11.2017,54.1928,,,37.5928
376,Советский район,Наезд на пешехода,15:50,16.11.2017,54.1992,,,37.5969
377,Привокзальный район,Наезд на пешехода,14:25,16.11.2017,54.1875,,,37.5344
378,Пролетарский район,Наезд на пешехода,17:30,16.11.2017,54.2036,,,37.6431
379,Советский район,Наезд на пешехода,15:00,14.11.2017,54.1853,,,37.5939
380,Привокзальный район,Наезд на пешехода,08:00,14.11.2017,54.2517,,,37.9669
381,Центральный район,Наезд на пешехода,08:00,11.12.2017,41.3883,,,34.6575
382,Пролетарский район,Наезд на пешехода,07:50,11.12.2017,54.3167,,,37.1086
383,Пролетарский район,Наезд на пешехода,06:50,11.12.2017,54.2181,,,37.7081
384,Советский район,Наезд на пешехода,17:10,08.12.2017,54.1861,,,37.5978
385,Советский район,Наезд на пешехода,17:10,08.12.2017,54.1861,,,37.5978
386,Пролетарский район,Наезд на пешехода,15:45,06.12.2017,54.1875,,,37.7017
387,Пролетарский район,Наезд на пешехода,16:45,06.12.2017,54.2019,Режим движения не изменялся,,37.6383
388,Привокзальный район,Наезд на пешехода,19:50,05.12.2017,54.2061,,,37.5386
389,Центральный район,Наезд на пешехода,17:55,04.12.2017,54.0997,,,37.5872
390,Зареченский район,Наезд на пешехода,20:00,03.12.2017,54.3572,,,37.1025
391,Привокзальный район,Наезд на пешехода,07:30,01.12.2017,54.1203,,,37.5467
392,Советский район,Наезд на пешехода,18:15,01.12.2017,54.1853,,,37.5672
393,Центральный район,Наезд на пешехода,15:30,01.12.2017,54.1703,,,37.5978
394,Пролетарский район,Наезд на пешехода,11:45,28.11.2017,54.1872,,,37.7111
395,Центральный район,Наезд на пешехода,23:50,31.12.2017,54.1806,,,37.6325
396,Пролетарский район,Наезд на пешехода,18:30,30.12.2017,54.3506,,,37.5183
397,Советский район,Наезд на пешехода,23:50,30.12.2017,54.3225,,,37.1064
398,Привокзальный район,Наезд на пешехода,13:38,29.12.2017,54.1989,,,37.5789
399,Центральный район,Наезд на пешехода,22:07,28.12.2017,54.1792,,,37.6469
400,Привокзальный район,Наезд на пешехода,07:08,25.12.2017,54.1494,,,37.5833
401,Центральный район,Наезд на пешехода,17:52,25.12.2017,54.1508,,,37.0514
402,Центральный район,Наезд на пешехода,17:15,22.12.2017,54.1772,,,37.6292
403,Пролетарский район,Наезд на пешехода,16:35,22.12.2017,54.2142,,,37.6692
404,Центральный район,Наезд на пешехода,19:30,22.12.2017,54.1636,,,37.5867
405,Привокзальный район,Наезд на пешехода,08:00,21.12.2017,54.2686,,,37.0853
406,Центральный район,Наезд на пешехода,07:45,21.12.2017,54.1189,,,37.5686
407,Центральный район,Наезд на пешехода,13:30,21.12.2017,54.1017,,,37.6061
408,Советский район,Наезд на пешехода,16:25,20.12.2017,54.1664,,,37.5797
409,Привокзальный район,Наезд на пешехода,08:40,19.12.2017,54.1572,,,37.5886
410,Пролетарский район,Наезд на пешехода,18:25,18.12.2017,54.3522,,,37.1022
411,Привокзальный район,Наезд на пешехода,08:15,18.12.2017,54.1853,,,37.9147
412,Центральный район,Наезд на пешехода,17:30,18.12.2017,54.3186,,,37.1053
413,Пролетарский район,Наезд на пешехода,08:25,18.12.2017,54.3186,,,37.1019
414,Пролетарский район,Наезд на пешехода,16:40,17.12.2017,54.1953,,,37.2617
415,Центральный район,Наезд на пешехода,11:40,15.01.2016,54.1833,,,37.6178
416,Советский район,Наезд на пешехода,16:35,08.01.2016,54.2,,,37.5836
417,Центральный район,Наезд на пешехода,11:05,07.01.2016,54.0692,,,37.585
418,Привокзальный район,Наезд на пешехода,09:10,06.01.2016,54.1858,,,37.5686
419,Советский район,Наезд на пешехода,17:20,06.01.2016,54.1969,,,37.585
420,Центральный район,Наезд на пешехода,18:20,05.01.2016,54.1517,,,37.6017
421,Центральный район,Наезд на пешехода,17:55,03.01.2016,54.1686,,,37.6189
422,Привокзальный район,Наезд на пешехода,19:25,29.01.2016,54.2,,,37.5342
423,Советский район,Наезд на пешехода,09:35,28.01.2016,54.1853,,,37.5864
424,Центральный район,Наезд на пешехода,15:30,28.01.2016,54.1522,,,37.5839
425,Пролетарский район,Наезд на пешехода,11:15,27.01.2016,54.1856,,,37.6019
426,Советский район,Наезд на пешехода,10:55,26.01.2016,54.1889,,,37.6097
427,Центральный район,Наезд на пешехода,19:10,25.01.2016,54.1664,,,37.5986
428,Центральный район,Наезд на пешехода,11:45,24.01.2016,54.1056,,,38.6097
429,Центральный район,Наезд на пешехода,15:10,23.01.2016,54.2017,,,37.6172
430,Центральный район,Наезд на пешехода,12:00,22.01.2016,54.1356,,,37.5692
431,Пролетарский район,Наезд на пешехода,15:45,22.01.2016,54.2178,,,37.6686
432,Центральный район,Наезд на пешехода,10:50,21.01.2016,54.1692,,,37.6181
433,Пролетарский район,Наезд на пешехода,16:00,21.01.2016,54.2025,,,37.6672
434,Пролетарский район,Наезд на пешехода,17:15,19.01.2016,54.1858,,,37.6375
435,Пролетарский район,Наезд на пешехода,17:00,18.01.2016,54.1944,,,37.6997
436,Центральный район,Наезд на пешехода,07:20,15.02.2016,54.1689,,,37.6056
437,Центральный район,Наезд на пешехода,13:50,15.02.2016,54.1686,,,37.6192
438,Пролетарский район,Наезд на пешехода,10:25,15.02.2016,54.2025,,,37.6903
439,Пролетарский район,Наезд на пешехода,19:00,13.02.2016,54.1853,,,37.6689
440,Пролетарский район,Наезд на пешехода,13:20,11.02.2016,54.2219,,,37.6858
441,Пролетарский район,Наезд на пешехода,20:40,11.02.2016,54.1858,,,37.6394
442,Пролетарский район,Наезд на пешехода,07:26,10.02.2016,54.1197,,,37.6692
443,Пролетарский район,Наезд на пешехода,07:26,10.02.2016,54.1197,,,37.6692
444,Пролетарский район,Наезд на пешехода,07:26,10.02.2016,54.1197,,,37.6692
445,Пролетарский район,Наезд на пешехода,16:25,07.02.2016,54.185,,,37.6189
446,Центральный район,Наезд на пешехода,21:00,06.02.2016,54.0858,,,37.6072
447,Центральный район,Наезд на пешехода,07:40,05.02.2016,54.1792,,,37.6019
448,Пролетарский район,Наезд на пешехода,19:45,02.02.2016,54.2061,,,37.6531
449,Пролетарский район,Наезд на пешехода,10:10,02.02.2016,54.2006,,,37.6678
450,Пролетарский район,Наезд на пешехода,06:35,01.03.2016,54.1853,,,37.6831
451,Центральный район,Наезд на пешехода,08:30,29.02.2016,54.1853,,,37.6019
452,Зареченский район,Наезд на пешехода,02:10,26.02.2016,54.2094,,,37.6228
453,Привокзальный район,Наезд на пешехода,18:30,25.02.2016,54.1931,,,37.5372
454,Центральный район,Наезд на пешехода,20:05,25.02.2016,54.1525,,,37.6192
455,Привокзальный район,Наезд на пешехода,09:50,24.02.2016,54.2003,,,37.5881
456,Привокзальный район,Наезд на пешехода,14:18,19.02.2016,54.1944,,,37.5408
457,Пролетарский район,Наезд на пешехода,08:20,19.02.2016,54.1939,,,37.6769
458,Советский район,Наезд на пешехода,08:45,18.02.2016,54.1839,,,37.5836
459,Зареченский район,Наезд на пешехода,08:25,18.02.2016,54.2169,,,37.6175
460,Пролетарский район,Наезд на пешехода,07:25,16.02.2016,54.1978,,,37.6458
461,Советский район,Наезд на пешехода,16:40,14.03.2016,54.1853,,,37.6014
462,Центральный район,Наезд на пешехода,10:44,13.03.2016,54.1678,,,37.6336
463,Пролетарский район,Наезд на пешехода,19:50,12.03.2016,54.3436,,,37.6803
464,Пролетарский район,Наезд на пешехода,19:50,12.03.2016,54.3436,,,37.6803
465,Пролетарский район,Наезд на пешехода,19:50,12.03.2016,54.3436,,,37.6803
466,Пролетарский район,Наезд на пешехода,20:10,11.03.2016,54.1853,,,37.6692
467,Центральный район,Наезд на пешехода,19:40,11.03.2016,54.1681,,,37.6456
468,Привокзальный район,Наезд на пешехода,12:25,10.03.2016,54.2069,,,37.5869
469,Пролетарский район,Наезд на пешехода,13:40,09.03.2016,54.2006,,,37.6683
470,Зареченский район,Наезд на пешехода,19:45,06.03.2016,54.2178,,,37.6183
471,Советский район,Наезд на пешехода,17:20,05.03.2016,54.1686,,,37.5858
472,Привокзальный район,Наезд на пешехода,20:12,04.03.2016,54.1683,,,37.5706
473,Центральный район,Наезд на пешехода,07:45,03.03.2016,54.1567,,,37.5853
474,Советский район,Наезд на пешехода,11:25,02.03.2016,54.1853,,,37.6017
475,Центральный район,Наезд на пешехода,07:50,02.03.2016,54.1822,,,37.6192
476,Пролетарский район,Наезд на пешехода,08:14,31.03.2016,54.1853,,,37.6825
477,Привокзальный район,Наезд на пешехода,09:30,30.03.2016,54.07,,,37.3363
478,Привокзальный район,Наезд на пешехода,19:40,29.03.2016,54.0,,,37.0
479,Пролетарский район,Наезд на пешехода,12:00,26.03.2016,54.1853,,,37.6525
480,Зареченский район,Наезд на пешехода,07:15,21.03.2016,54.2025,,,37.6008
481,Привокзальный район,Наезд на пешехода,17:15,20.03.2016,54.1983,,,37.5353
482,Советский район,Наезд на пешехода,02:50,20.03.2016,54.1808,,,37.5811
483,Советский район,Наезд на пешехода,19:55,18.03.2016,54.1944,,,37.6161
484,Зареченский район,Наезд на пешехода,08:05,17.03.2016,54.2022,,,37.6006
485,Зареченский район,Наезд на пешехода,17:15,15.04.2016,54.2022,,,37.6
486,Центральный район,Наезд на пешехода,18:00,14.04.2016,54.1958,,,37.6203
487,Центральный район,Наезд на пешехода,20:50,13.04.2016,54.1003,,,37.6022
488,Пролетарский район,Наезд на пешехода,14:15,10.04.2016,54.2044,,,37.6725
489,Центральный район,Наезд на пешехода,20:55,09.04.2016,54.1261,,,37.1356
490,Зареченский район,Наезд на пешехода,17:30,08.04.2016,54.1289,,,37.5356
491,Центральный район,Наезд на пешехода,10:25,07.04.2016,54.1689,,,37.5925
492,Центральный район,Наезд на пешехода,11:25,07.04.2016,54.1683,,,37.6183
493,Пролетарский район,Наезд на пешехода,17:15,06.04.2016,54.2006,,,37.5506
494,Зареченский район,Наезд на пешехода,13:00,06.04.2016,54.2011,,,37.6139
495,Центральный район,Наезд на пешехода,12:40,04.04.2016,54.1844,,,37.6169
496,Пролетарский район,Наезд на пешехода,11:20,02.04.2016,54.2008,,,37.6681
497,Привокзальный район,Наезд на пешехода,17:55,01.04.2016,54.16,,,37.5867
498,Центральный район,Наезд на пешехода,12:00,30.04.2016,54.1692,,,37.6183
499,Пролетарский район,Наезд на пешехода,11:05,30.04.2016,54.2119,,,37.6856
500,Привокзальный район,Наезд на пешехода,10:35,28.04.2016,54.1678,,,37.5731
501,Центральный район,Наезд на пешехода,12:15,28.04.2016,54.1517,,,37.5853
502,Центральный район,Наезд на пешехода,14:45,22.04.2016,54.1,,,37.6008
503,Привокзальный район,Наезд на пешехода,12:30,20.04.2016,54.1022,,,37.5189
504,Пролетарский район,Наезд на пешехода,20:40,17.04.2016,54.2017,,,37.6764
505,Пролетарский район,Наезд на пешехода,10:40,17.04.2016,54.1886,,,37.705
506,Пролетарский район,Наезд на пешехода,21:50,16.04.2016,54.2006,,,37.6683
